"","FIPS","num_acute_beds"
"1542",37059,25
"1543",37061,18
"1544",37063,629
"1545",37065,38
"1546",37067,465
"1547",37071,208
"1548",37077,46
"1549",37081,128
"1550",37083,0
"1551",37085,83
"1552",37087,0
"1553",37089,139
"1554",37091,33
"1555",37093,25
"1556",37097,116
"1557",37099,0
"1558",37101,100
"1559",37105,101
"1560",37107,124
"1561",37109,39
"1562",37111,20
"1563",37113,52
"1564",37117,0
"1565",37119,755
"1566",37121,15
"1567",37123,5
"1568",37125,212
"1569",37127,181
"1570",37129,292
"1571",37133,83
"1572",37135,396
"1573",37139,88
"1574",37141,16
"1575",37145,32
"1576",37147,434
"1577",37149,19
"1578",37151,29
"1579",37155,146
"1580",37157,43
"1581",37159,162
"1582",37161,69
"1583",37163,19
"1584",37165,68
"1585",37167,70
"1586",37169,0
"1587",37171,105
"1588",37173,0
"1589",37175,0
"1590",37179,96
"1591",37181,0
"1592",37183,863
"1593",37187,0
"1594",37189,70
"1595",37191,186
"1596",37193,42
"1597",37195,66
"1598",38001,0
"1599",38003,0
"1600",38009,0
"1601",38011,0
"1602",38015,220
"1603",38017,315
"1604",38019,0
"1605",38021,0
"1606",38023,16
"1607",38029,0
"1608",38031,25
"1609",38035,196
"1610",38037,0
"1611",38039,0
"1612",38051,14
"1613",38053,24
"1614",38055,22
"1615",38057,0
"1616",38059,0
"1617",38061,0
"1618",38063,10
"1619",38067,0
"1620",38069,0
"1621",38071,18
"1622",38073,0
"1623",38079,0
"1624",38085,0
"1625",38089,12
"1626",38093,15
"1627",38095,0
"1628",38097,20
"1629",38099,14
"1630",38101,210
"1631",38103,25
"1632",38105,0
"1633",39001,0
"1634",39003,194
"1635",39005,20
"1636",39007,115
"1637",39009,21
"1638",39011,19
"1639",39013,20
"1640",39017,243
"1641",39021,0
"1642",39023,0
"1643",39025,62
"1644",39027,0
"1645",39029,0
"1646",39031,37
"1647",39033,0
"1648",39035,2887
