FIPS,State,County,population,hospitalizations_per_case,severe_cases_rate,critical_case_rate,case_fatality_rate
20169,Kansas,Saline County,54977,0.0745905014824381,0.0506603124215581,0.02393018906088,0.0092795114320534
20171,Kansas,Scott County,4949,0.0735372802586381,0.050121207314609,0.0234160729440291,0.00881519498888665
20173,Kansas,Sedgwick County,512064,0.0657698217410324,0.0461140362298463,0.0196557855111861,0.00740153129296338
20175,Kansas,Seward County,22692,0.0528653269874846,0.038390852194606,0.0144744747928786,0.00537925171866737
20177,Kansas,Shawnee County,178284,0.0751100266989747,0.0510076614446613,0.0241023652543133,0.00916781606874425
20179,Kansas,Sheridan County,2506,0.0896205107741421,0.0574793004788508,0.0321412102952913,0.0130247964884278
20181,Kansas,Sherman County,5966,0.0773084143479718,0.0515288610459269,0.0257795533020449,0.00999130070398927
20183,Kansas,Smith County,3663,0.103857220857221,0.0640428509418509,0.0398143699153699,0.0161218727818728
20185,Kansas,Stafford County,4214,0.0860811580446132,0.0554018585666825,0.0306792994779307,0.0124571903179877
20187,Kansas,Stanton County,2063,0.0797779932137664,0.050764548230732,0.0290134449830344,0.0121173533688803
20189,Kansas,Stevens County,5686,0.0642128033767147,0.0450064155821316,0.0192063877945832,0.00727506155469574
20191,Kansas,Sumner County,23208,0.0781527921406412,0.0524342391847639,0.0257185529558773,0.0101412909341606
20193,Kansas,Thomas County,7824,0.0715115030674847,0.0487704645961145,0.0227410384713701,0.00869037065439673
20195,Kansas,Trego County,2858,0.0979573128061581,0.060716644156753,0.0372406686494052,0.0148840027991603
20197,Kansas,Wabaunsee County,6888,0.0822533391405343,0.0560713693379791,0.0261819698025552,0.00992978803716608
20199,Kansas,Wallace County,1575,0.0859396825396825,0.05462748,0.0313122025396825,0.0121822095238095
20201,Kansas,Washington County,5525,0.0918168325791855,0.0586884456108597,0.0331283869683258,0.0134670733031674
20203,Kansas,Wichita County,2143,0.0865487634157723,0.0550662893140457,0.0314824741017266,0.0129793560429305
20205,Kansas,Wilson County,8780,0.0852423690205012,0.0565416687927107,0.0287007002277904,0.0110453325740319
20207,Kansas,Woodson County,3170,0.0932116719242902,0.0605484056782334,0.0326632662460568,0.0125926940063091
20209,Kansas,Wyandotte County,164345,0.060505984362165,0.0434035018588944,0.0171024825032706,0.0063565797560011
21001,Kentucky,Adair County,19241,0.0781522789875786,0.0534495683696274,0.0247027106179513,0.00941516241359597
21003,Kentucky,Allen County,20794,0.0749811484081947,0.0518584587380975,0.0231226896700971,0.00876085409252669
21005,Kentucky,Anderson County,22214,0.0717309804627712,0.0513912475916089,0.0203397328711623,0.0072855478527055
21007,Kentucky,Ballard County,8090,0.083921631644005,0.0560963038318912,0.0278253278121137,0.01096108776267
21009,Kentucky,Barren County,43680,0.0757393772893773,0.0519934909798535,0.0237458863095238,0.00920485531135531
